candidate_id,taxon_id,taxon_name,phenotype,direction,effect_size,p_value,q_value,n_cohorts,method,schema_version
CAND_6c6398dc311c,STR_Eubacterium_nodatum,Eubacterium_nodatum,periodontitis,disease_enriched,4.985664784946647,6.074240444353178e-4,0.053545459455426075,1,wilcoxon,0.1
CAND_87cf61d58fe5,STR_GGB10852_SGB17523,GGB10852_SGB17523,periodontitis,disease_enriched,4.2609912600819255,9.587348894763842e-4,0.053545459455426075,1,wilcoxon,0.1
CAND_006977768ec7,STR_Corynebacterium_durum,Corynebacterium_durum,periodontitis,health_enriched,-3.038714480353255,0.0011811498409285163,0.053545459455426075,1,wilcoxon,0.1
CAND_68cc8c342e43,STR_Lautropia_mirabilis,Lautropia_mirabilis,periodontitis,health_enriched,-2.215673660062248,0.002932248093771486,0.08486355915155792,1,wilcoxon,0.1
CAND_5d908f9df765,STR_Treponema_maltophilum,Treponema_maltophilum,periodontitis,disease_enriched,3.91406992595856,0.0031199837923366882,0.08486355915155792,1,wilcoxon,0.1
CAND_852ca01d05a6,STR_Porphyromonas_endodontalis,Porphyromonas_endodontalis,periodontitis,disease_enriched,3.2351803453733443,0.003798784468718879,0.08610578129096126,1,wilcoxon,0.1
CAND_4b93285f265a,STR_Filifactor_alocis,Filifactor_alocis,periodontitis,disease_enriched,4.528331055944953,0.006039779510484434,0.09728786691536086,1,wilcoxon,0.1
CAND_0b5027932aa5,STR_Fretibacterium_fastidiosum,Fretibacterium_fastidiosum,periodontitis,disease_enriched,5.0319361410030155,0.006054565001665098,0.09728786691536086,1,wilcoxon,0.1
CAND_985e72991e25,STR_Tannerella_forsythia,Tannerella_forsythia,periodontitis,disease_enriched,1.771268818300177,0.006757366594780125,0.09728786691536086,1,wilcoxon,0.1
CAND_bb075dbb2347,STR_Actinomyces_naeslundii,Actinomyces_naeslundii,periodontitis,health_enriched,-1.525635904588048,0.007153519626129475,0.09728786691536086,1,wilcoxon,0.1
CAND_ae12cb2a6107,STR_Treponema_SGB69443,Treponema_SGB69443,periodontitis,disease_enriched,4.455545516407058,0.0091839076041493,0.10834188233755457,1,wilcoxon,0.1
CAND_c08c8562883e,STR_GGB1025_SGB1319,GGB1025_SGB1319,periodontitis,disease_enriched,3.591372587190266,0.009559577853313638,0.10834188233755457,1,wilcoxon,0.1
CAND_7f28f3c7edb6,STR_Rothia_aeria,Rothia_aeria,periodontitis,health_enriched,-2.5013694198827263,0.01103576910054795,0.11545112289804009,1,wilcoxon,0.1
CAND_91283a05d3f5,STR_Treponema_denticola,Treponema_denticola,periodontitis,disease_enriched,3.9003381977780904,0.013517140172808419,0.13130936167871035,1,wilcoxon,0.1
CAND_64bf0ec09c7e,STR_Peptostreptococcaceae_bacterium_oral_taxon_113,Peptostreptococcaceae_bacterium_oral_taxon_113,periodontitis,disease_enriched,11.340831192449214,0.018974544760126933,0.16243439191378845,1,wilcoxon,0.1
