feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
STR_Eubacterium_nodatum	disease_status	periodontitis	2.4163155126672	0.599165317898514	42	16	0.00024086319497043	0.0327573945159785
STR_GGB10852_SGB17523	disease_status	periodontitis	1.32653864039337	0.358485905063034	42	15	0.000647782321917085	0.0440491978903618
STR_Treponema_maltophilum	disease_status	periodontitis	2.19378892379686	0.617817972970443	42	18	0.00100028711379758	0.0453463491588238
STR_Lautropia_mirabilis	disease_status	periodontitis	-2.86390163685243	0.844824921447539	42	24	0.00158352959939787	0.0538400063795275
STR_Corynebacterium_durum	disease_status	periodontitis	-2.26123901547626	0.684229831830471	42	15	0.0020116808280313	0.0547177185224513
STR_Filifactor_alocis	disease_status	periodontitis	2.59485983253174	0.808290032384562	42	13	0.00261526992734675	0.0592794516865264
STR_Actinomyces_naeslundii	disease_status	periodontitis	-2.52590378200127	0.829786930139408	42	20	0.00411441507206592	0.0673155777125104
STR_Rothia_aeria	disease_status	periodontitis	-2.41451386047403	0.80313395335067	42	22	0.00455201790897882	0.0673155777125104
STR_Porphyromonas_endodontalis	disease_status	periodontitis	3.3489079495711	1.08278984954486	42	20	0.00360617079690745	0.0673155777125104
STR_Treponema_denticola	disease_status	periodontitis	1.547888049788	0.520303077077269	42	14	0.00494967483180224	0.0673155777125104
STR_Tannerella_forsythia	disease_status	periodontitis	2.40006503005012	0.841685209377873	42	19	0.00685181938011888	0.0839710090293761
STR_Fretibacterium_fastidiosum	disease_status	periodontitis	1.77772973287419	0.630086683598884	42	11	0.0074092066790626	0.0839710090293761
STR_Actinomyces_massiliensis	disease_status	periodontitis	-2.53492824706901	0.925028338243621	42	19	0.00912647271863245	0.0954769453641549
STR_GGB4333_SGB5935	disease_status	periodontitis	2.15503861201169	0.805681009362181	42	8	0.0107787426056951	0.104707785312467
STR_GGB1025_SGB1319	disease_status	periodontitis	2.01877394598705	0.78128850230955	42	13	0.0135273536377089	0.114982505920526
STR_Treponema_SGB69443	disease_status	periodontitis	2.40842224300327	0.92476073375047	42	10	0.0128574977881487	0.114982505920526
STR_Actinobaculum_sp_oral_taxon_183	disease_status	periodontitis	-2.40990382393668	0.995574605875336	42	16	0.0201266684803156	0.151796124923549
STR_Streptococcus_sanguinis	disease_status	periodontitis	-1.91485343998981	0.79248832754749	42	15	0.0203374683681892	0.151796124923549
STR_Porphyromonas_gingivalis	disease_status	periodontitis	3.86669127464732	1.61200201047831	42	17	0.0212068115702017	0.151796124923549
STR_Candidatus_Nanoperiomorbus_periodonticus	disease_status	periodontitis	1.74242943317634	0.734710699196796	42	12	0.0226141913268282	0.153776501022432
STR_Mogibacterium_timidum	disease_status	periodontitis	2.4584944645823	1.0564306495327	42	20	0.0251033798918975	0.162574269776098
STR_Capnocytophaga_gingivalis	disease_status	periodontitis	-2.17235336209762	0.958606030418033	42	29	0.0289235497320114	0.163900115148065
STR_Actinomyces_oris	disease_status	periodontitis	-2.37635494997832	1.04377719619289	42	23	0.0282292755260452	0.163900115148065
STR_Peptostreptococcaceae_bacterium_oral_taxon_113	disease_status	periodontitis	1.94091413591946	0.847586189018049	42	6	0.0273772196243957	0.163900115148065
STR_Dialister_invisus	disease_status	periodontitis	1.73807933266459	0.823593929980044	42	14	0.0411290428893928	0.223741993318297
STR_GGB1611_SGB2208	disease_status	periodontitis	0.589851488695668	0.286038130493583	42	7	0.0457312765411123	0.239209754215049
STR_Neisseria_elongata	disease_status	periodontitis	-2.6378266313524	1.2946212736233	42	18	0.0482499211491077	0.243036639862172
STR_Rothia_dentocariosa	disease_status	periodontitis	-2.67696693993282	1.34664890220875	42	26	0.0537006295113294	0.260831629055028
STR_Prevotella_intermedia	disease_status	periodontitis	1.6963248812954	0.873206002458868	42	11	0.0591224787669657	0.277264038355425
STR_GGB1843_SGB2524	disease_status	periodontitis	-1.08595501390786	0.568306332811962	42	12	0.0632079047148114	0.27761835747406
STR_Streptococcus_oralis	disease_status	periodontitis	-1.15285517820869	0.608333215591286	42	19	0.0653219664644847	0.27761835747406
STR_Kytococcus_sedentarius	disease_status	periodontitis	-0.687607105119495	0.361247990143396	42	6	0.0641987695978296	0.27761835747406
STR_Campylobacter_SGB19317	disease_status	periodontitis	-0.486002275887286	0.269663581983058	42	7	0.0790446789090112	0.316178715636045
STR_GGB6675_SGB9425	disease_status	periodontitis	0.868748211766501	0.47904524846212	42	5	0.0772626117068292	0.316178715636045
STR_Capnocytophaga_sputigena	disease_status	periodontitis	-1.07898809544586	0.64607446325049	42	26	0.102714452030551	0.347563036839024
STR_Capnocytophaga_SGB2480	disease_status	periodontitis	-0.953623249378059	0.574548223355217	42	13	0.104780033164706	0.347563036839024
STR_Prevotella_oris	disease_status	periodontitis	1.99869103512797	1.20142601723314	42	18	0.104009214392293	0.347563036839024
STR_Prevotella_denticola	disease_status	periodontitis	0.817629467372058	0.484071827416801	42	7	0.0989884910275166	0.347563036839024
STR_Peptostreptococcus_stomatis	disease_status	periodontitis	0.845411136623741	0.494445809748108	42	5	0.0950478622862762	0.347563036839024
STR_Treponema_sp_Marseille_Q3903	disease_status	periodontitis	0.758452788880786	0.451525468681328	42	5	0.100800119235124	0.347563036839024
STR_Prevotella_dentalis	disease_status	periodontitis	1.0254049672844	0.59267415048021	42	6	0.0913165094451705	0.347563036839024
STR_Fusobacterium_nucleatum	disease_status	periodontitis	1.15879243182489	0.718682403241232	42	39	0.114741575531323	0.362903587726975
STR_Treponema_sp_OMZ_804	disease_status	periodontitis	1.2110775010456	0.745739801978909	42	13	0.112232425619488	0.362903587726975
STR_Bacteroidetes_unclassified_SGB1343	disease_status	periodontitis	1.35901281123934	0.862176515328035	42	10	0.12284331183896	0.379697509320422
STR_Corynebacterium_matruchotii	disease_status	periodontitis	-1.32787602779412	0.884411994779758	42	31	0.141099835360364	0.417164730630641
STR_Prevotella_baroniae	disease_status	periodontitis	1.09640524895862	0.726894431963308	42	7	0.139325715653639	0.417164730630641
STR_Campylobacter_SGB19337	disease_status	periodontitis	-0.37973726055696	0.255277628161618	42	7	0.14471199141335	0.418741081536503
STR_GGB49229_SGB69060	disease_status	periodontitis	0.543567007599049	0.369905730764377	42	6	0.149526077220859	0.423657218792435
STR_Campylobacter_curvus	disease_status	periodontitis	0.813534193545407	0.576011528399303	42	7	0.165578054169244	0.459563578918719
STR_Arachnia_SGB15899	disease_status	periodontitis	-1.2202459541271	0.888175923753576	42	8	0.177130011794839	0.481793632081961
STR_Porphyromonas_catoniae	disease_status	periodontitis	-1.05895590730952	0.810246401923402	42	10	0.19869184763411	0.529844927024293
STR_Isoptericola_variabilis	disease_status	periodontitis	-0.538924181503539	0.418160013503957	42	7	0.204872228269136	0.535819673934664
STR_Ottowia_sp_Marseille_P4747	disease_status	periodontitis	-1.5130930301565	1.1953270720266	42	10	0.212893604137833	0.543007471523371
STR_Peptidiphaga_gingivicola	disease_status	periodontitis	0.522286435261097	0.415098140753764	42	5	0.21560590781075	0.543007471523371
STR_Pseudopropionibacterium_propionicum	disease_status	periodontitis	-1.51963460549494	1.23076087460428	42	20	0.224142122531571	0.544345154719529
STR_Kingella_denitrificans	disease_status	periodontitis	-0.978589655294199	0.789009360082686	42	7	0.222099479901529	0.544345154719529
STR_Veillonella_parvula	disease_status	periodontitis	-1.64205859694273	1.34856346705284	42	22	0.230497051490845	0.549957877241314
STR_Treponema_socranskii	disease_status	periodontitis	1.3390887062937	1.13047027400403	42	22	0.243189633839267	0.555460786502678
STR_Alloprevotella_tannerae	disease_status	periodontitis	0.978423098859444	0.815004756822451	42	15	0.237002015940494	0.555460786502678
STR_Lachnospiraceae_bacterium_oral_taxon_500	disease_status	periodontitis	0.37867406966172	0.326538537244537	42	9	0.253062357411832	0.555460786502678
STR_Granulicatella_adiacens	disease_status	periodontitis	-0.505872521049586	0.433352341568203	42	7	0.249982096015121	0.555460786502678
