feature	STR_Corynebacterium_matruchotii	STR_Capnocytophaga_gingivalis	STR_Capnocytophaga_sputigena	STR_Capnocytophaga_granulosa	STR_Candidatus_Nanosynsacchari_sp_TM7_ANC_38_39_G1_1	STR_Fusobacterium_nucleatum	STR_Lautropia_mirabilis	STR_Aggregatibacter_sp_oral_taxon_458	STR_Tannerella_sp_oral_taxon_HOT_286	STR_Cardiobacterium_hominis	STR_Pseudopropionibacterium_propionicum	STR_Campylobacter_gracilis	STR_Prevotella_conceptionensis	STR_Capnocytophaga_leadbetteri	STR_Actinomyces_naeslundii	STR_Ottowia_sp_Marseille_P4747	STR_Selenomonas_noxia	STR_Selenomonas_artemidis	STR_Neisseria_sp_oral_taxon_014	STR_Actinomyces_massiliensis	STR_Treponema_sp_OMZ_804	STR_Porphyromonas_catoniae	STR_Actinomyces_dentalis	STR_Neisseria_subflava	STR_Actinobaculum_sp_oral_taxon_183	STR_GGB1022_SGB1315	STR_Leptotrichia_hongkongensis	STR_Porphyromonas_pasteri	STR_Prevotella_loescheii	STR_Treponema_socranskii	STR_Capnocytophaga_SGB2480	STR_GGB1843_SGB2524	STR_TM7_phylum_sp_oral_taxon_348	STR_Eikenella_corrodens	STR_Actinomyces_gerencseriae	STR_Alloprevotella_tannerae	STR_Porphyromonas_sp_oral_taxon_278	STR_Prevotella_oris	STR_Actinomyces_johnsonii	STR_Arachnia_SGB15899	STR_Corynebacterium_durum	STR_Actinomyces_oris	STR_Campylobacter_SGB19337	STR_Campylobacter_SGB19317	STR_Streptococcus_oralis	STR_Streptococcus_cristatus	STR_Prevotella_oulorum	STR_Rothia_dentocariosa	STR_Leptotrichia_buccalis	STR_Selenomonas_SGB5891	STR_Candidatus_Saccharibacteria_bacterium_oral_taxon_488	STR_Rothia_aeria	STR_Prevotella_maculosa	STR_Veillonella_parvula	STR_Prevotella_nigrescens	STR_Treponema_maltophilum	STR_Prevotella_saccharolytica	STR_GGB4400_SGB6074	STR_Actinomyces_israelii	STR_Prevotella_oralis	STR_Cardiobacterium_valvarum	STR_Lachnospiraceae_bacterium_oral_taxon_500	STR_Leptotrichia_sp_oral_taxon_212	STR_Streptococcus_sanguinis	STR_Actinomyces_sp_oral_taxon_448	STR_Bacteroidetes_oral_taxon_274	STR_Porphyromonas_gingivalis	STR_Campylobacter_curvus	STR_Neisseria_sicca	STR_GGB10022_SGB15896	STR_Haemophilus_parainfluenzae	STR_Neisseria_elongata	STR_Streptococcus_gordonii	STR_Capnocytophaga_ochracea	STR_Leptotrichia_hofstadii	STR_Kytococcus_sedentarius	STR_Prevotella_veroralis	STR_Pauljensenia_hongkongensis	STR_Isoptericola_variabilis	STR_Granulicatella_adiacens	STR_candidate_division_SR1_bacterium_MGEHA	STR_Selenomonas_sputigena	STR_GGB1201_SGB1566	STR_Anaeroglobus_geminatus	STR_GGB6675_SGB9425	STR_Arachnia_SGB15898	STR_Peptidiphaga_gingivicola	STR_Lautropia_dentalis	STR_Porphyromonas_endodontalis	STR_GGB12796_SGB19893	STR_Dialister_invisus	STR_GGB4533_SGB6246	STR_GGB12790_SGB19844	STR_Olsenella_sp_oral_taxon_807	STR_Tannerella_forsythia	STR_Campylobacter_rectus	STR_Eubacterium_brachy	STR_Treponema_denticola	STR_GGB12790_SGB19845	STR_Lachnoanaerobaculum_saburreum	STR_Actinomyces_sp_oral_taxon_897	STR_Prevotella_denticola	STR_Candidatus_Nanoperiomorbus_periodonticus	STR_Prevotella_intermedia	STR_GGB3385_SGB4472	STR_Selenomonas_massiliensis	STR_Centipeda_periodontii	STR_Mogibacterium_timidum	STR_Gemella_morbillorum	STR_Kingella_denitrificans	STR_Candidatus_Gracilibacteria_bacterium_GN02_873	STR_Selenomonas_sp_oral_taxon_892	STR_Selenomonas_sp_oral_taxon_126	STR_Catonella_morbi	STR_Parvimonas_micra	STR_Bacteroidetes_unclassified_SGB1343	STR_Campylobacter_showae	STR_Dialister_pneumosintes	STR_Prevotella_baroniae	STR_Streptococcus_anginosus	STR_Peptostreptococcus_stomatis	STR_GGB1025_SGB1319	STR_GGB10852_SGB17523	STR_Filifactor_alocis	STR_Eubacterium_yurii	STR_Prevotella_sp_oral_taxon_473	STR_Treponema_SGB69443	STR_GGB49229_SGB69060	STR_Treponema_sp_Marseille_Q3903	STR_GGB1611_SGB2208	STR_Eubacterium_nodatum	STR_Fretibacterium_fastidiosum	STR_Prevotella_dentalis	STR_Anaerolineaceae_bacterium_oral_taxon_439	STR_GGB4333_SGB5935	STR_Peptostreptococcaceae_bacterium_oral_taxon_113
SAMP_geng2024_DRR285661	0.2725511	0.0382341	0.0120872	0.0122937	0.010743	0.036681	0.0050293	0.0012525	0.027738	0.0028829	0.0018159	0.00136	0	0.1182555	0.0003925	0	0.0021953	0	0	0.0013777	0	0.0184805	0.0352968	0.0259509	0	0	0	0.0044231	0.0202692	0.0013233	0.010147	0.0009235	0.1358516	0.0022646	0	0	0.0024013	0	0.0019619	0	0	0.0029451	0	0	0.004571	0.0031774	0	0.0025833	0.0021776	0	0	0.0013374	0	0.0056055	0.0045213	0.0011234	0	0	0.0018423	0	0.0031453	0	0.0095627	0.002203	0	0	0	0.0003329	0.0080516	0	0.0002011	0.0256846	0.0021112	0.0030796	0.0011427	0.0005843	0	0.0007142	0.0069181	0.0020498	0	0	0	0	0	0	0	0	0	0.0009876	0	0	0	0	0	0	0	0	0.0016041	0	0	0	0	0.0006518	0.0068319	0.001072	0	0	0	0.0015029	0.0067436	0.0225825	0.0032833	0.0030981	0	0.0074195	0.0068239	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SAMP_geng2024_DRR285662	0.0590953881809224	0.0425537914892417	0.0305597938880412	0	0	0.0183777963244407	0.0212431957513609	0	0	0.074730185053963	0.000462399907520019	0	0	0.00403499919300016	0	0	0	0	0.0099022980195404	0.00901319819736036	0	0.0163474967305007	0	0.0159134968173006	0	0	0	0.0617528876494225	0	0	0.00841199831760034	0	0	0.00941949811610038	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00764689847062031	0.0216318956736209	0	0	0	0	0	0	0	0	0	0	0.0074181985163603	0	0	0	0	0	0.0972084805583039	0.207511058497788	0	0	0	0	0	0	0	0	0	0	0.00866339826732035	0	0	0	0.0193199961360008	0	0.0173908965218207	0.191137561772488	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000933599813280037	0	0	0	0	0	0	0	0	0	0
SAMP_geng2024_DRR285663	0.0684657	0.0558581	0.035135	0	0	0.0042388	0.0553941	0	0	0.0679842	0.003715	0	0	0.001836	0	0.0102839	0	0	0.0443539	0.0021001	0	0.0036542	0	0.0163568	0	0	0	0.0489179	0	0	0.0327584	0	0	0.0049974	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0030621	0	0	0	0	0	0	0.0044151	0	0	0	0	0.0005321	0	0	0	0	0	0.0220319	0.1733497	0	0	0	0	0	0	0	0	0	0	0.013661	0	0	0	0.0468544	0	0.0149075	0.2431567	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SAMP_geng2024_DRR285664	0	0	0	0	0.022614671663815	0.067786367905305	0	0	0	0	0	0.0026774869713582	0	0	0	0	0	0	0	0	0	0	0.0219728474217741	0	0	0	0	0	0	0.0129977165348657	0	0	0	0	0	0.0497773581461338	0	0.0618371085502639	0	0	0	0	0	0	0	0	0	0.0547019805777359	0	0	0	0.00436406456793909	0	0	0	0.00949985948522753	0	0	0.0113357590479904	0	0	0.00193468024682561	0	0	0	0	0.256939167912351	0	0	0	0	0	0	0.0180067078789956	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.100647008476524	0	0.0115333204161159	0	0	0.00814455247045787	0.164536793653056	0.0158460430479616	0.0177644099700635	0.0118892111076327	0.00626331587640785	0	0.0033021972347013	0	0	0	0	0	0	0.00521275778055516	0	0	0	0	0.000887925257350203	0	0.00144237813446023	0	0	0	0	0	0	0.0258901470721285	0.00398115180479416	0	0	0	0	0	0	0	0.00326266494472685	0.00058027396777688	0	0.00396093529194646	0	0
SAMP_geng2024_DRR285665	0.137366772526645	0.157585168482966	0.0179014964197007	0	0	0.0107714978457004	0.0134007973198405	0	0.0103891979221604	0.00438539912292018	0.00525169894966021	0	0	0.0193399961320008	0	0.0208431958313608	0.00692749861450028	0.000934399813120037	0	0	0	0	0.00375989924802015	0.275225244954951	0	0	0	0.0443889911222018	0.0104388979122204	0	0	0	0.0644603871079226	0.00818199836360033	0	0	0	0	0.0225708954858209	0	0.0128581974283605	0	0	0	0.00562189887562022	0.00210429957914008	0	0.0268226946354611	0	0	0	0.0159964968007006	0	0.00139329972134006	0	0	0	0	0	0	0.00129859974028005	0	0.00469619906076019	0	0	0	0	0	0.00175339964932007	0	0.0049787990042402	0.00873679825264035	0.00477739904452019	0.0278653944269211	0.00950229809954038	0	0	0	0	0.000689099862180028	0	0	0	0	0	0	0	0	0	0.0137613972477206	0	0	0	0	0	0	0	0	0	0	0.00627499874500025	0	0	0	0.00226779954644009	0	0	0	0.00703009859398028	0	0	0	0	0	0	0	0.000188199962360008	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000916099816780037	0	0	0	0	0
SAMP_geng2024_DRR285666	0	0	0	0	0.00138389986161001	0.113277588672241	0	0	0	0	0	0.000312199968780003	0	0	0	0	0	0	0	0	0	0	0.00694329930567007	0	0	0	0	0	0	0.000108299989170001	0	0	0	0	0	0	0	0.0181369981863002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00274439972556003	0	0	0.0113858988614101	0.00555789944421006	0	0	0	0	0	0.0180673981932602	0.454997854500215	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0532915946708405	0	0	0	0	0	0.135027886497211	0.0153874984612502	0.00503389949661005	0.0653814934618507	0	0	0	0	0	0.0179180982081902	0	0	0	0.0141103985889601	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0360910963908904	0	0	0	0	0	0	0	0.00165359983464002	0.00158189984181002	0	7.85999921400008e-05	0	0.0113450988654901
SAMP_geng2024_DRR285667	0.0132476	0	0	0	0	0	0	0	0	0	0.0050983	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4947594	0	0	0	0	0	0	0	0	0	0.0237924	0	0	0	0	0	0	0.0439601	0	0	0	0	0	0.1148824	0	0	0	0.0018798	0	0.1536093	0	0	0	0	0	0	0	0	0	0	0.1044974	0	0	0	0	0	0	0	0.0222782	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0087082	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SAMP_geng2024_DRR285668	0.0550649148021351	0.00343931933721992	0.00547892731802502	0	0.0258798078509855	0.031122799542731	0.0101309297703953	0	0	0	0.00118657917345519	0.000658899493823567	0	0.0114383271874053	0	0	0	0	0	0	0.0164460833585871	0	0.00816023219506145	0	0	0	0	0	0	0.00427354530534111	0	0	0	0	0	0.008515985913873	0	0	0	0	0	0	0	0	0	0	0	0.00569546001446218	0	0	0	0	0	0	0	0.0195553528582816	0	0	0	0	0	0.000918938759752723	0	0	0	0.0348618641414854	0.352850980498055	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0143485666335617	0	0	0.0253494277635923	0.0128504404165029	0	0.00597810269350672	0	0	0	0.136774552957497	0	0	0.034367089430504	0	0	0	0	0.0134033239019092	0	0	0	0	0.0155787523916111	0	0	0	0	0	0	0	0.00906696911233596	0	0	0	0	0	0.01903337403948	0.00992149814622008	0.0064410726019629	0	0	0.0325887208968554	0.00157423770989419	0	0.00608171833946926	0.00464190092703998	0.00594099709056068	0	0.00225514052621946	0.00361514588702894	0.0152310998960843
SAMP_geng2024_DRR285669	0.0940822811835438	0.0224294955141009	0.0325255934948813	0	0	0.0475207904958419	0	0	0	0	0	0	0	0.0778604844279031	0	0	0	0	0	0	0.00311729937654012	0	0	0	0	0	0.0131370973725805	0	0	0	0	0	0	0	0	0.00482459903508019	0	0	0	0	0	0	0	0	0	0	0	0.00650369869926026	0	0	0	0	0	0	0	0.00810759837848032	0	0	0	0	0	0	0	0	0	0.0436600912679817	0.395821920835616	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0157314968537006	0	0	0.00411339917732016	0.0326829934634013	0	0	0	0	0	0.0766740846651831	0	0	0.049078090184382	0	0	0	0	0	0	0	0	0	0.00634159873168025	0	0	0	0	0	0	0	0.00024319995136001	0	0	0	0	0	0	0.0134283973143205	0.00794279841144032	0	0	0.00634799873040025	0	0	0.00114339977132005	0.000404999919000016	0.00578969884206023	0	0	0	0.0120984975803005
SAMP_geng2024_DRR285670	0	0	0	0	0.0743225	0.1580369	0	0	0	0	0	0.0023789	0	0	0	0	0	0	0	0	0	0	0.0013456	0	0	0.0369706	0	0	0	0.0016021	0	0	0	0	0	0.012822	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0018089	0	0	0.0352327	0.0147518	0	0	0.0010365	0	0	0	0	0	0	0.2012698	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0180253	0	0.009221	0	0	0.0055886	0.142673	0	0.0095311	0.1061521	0.0021403	0	0	0	0.0059146	0	0	0	0	0.0136003	0	0	0	0	0	0.0028963	0	0	0	0	6.97e-05	0	0	0.0272117	0.0305492	0.0146034	0	0	0	0	0	0.0032131	0.00516	0.0003529	0	0	0.0437289	0.0177902
