feature	STR_Corynebacterium_matruchotii	STR_Capnocytophaga_gingivalis	STR_Capnocytophaga_sputigena	STR_Capnocytophaga_granulosa	STR_Candidatus_Nanosynsacchari_sp_TM7_ANC_38_39_G1_1	STR_Fusobacterium_nucleatum	STR_Lautropia_mirabilis	STR_Aggregatibacter_sp_oral_taxon_458	STR_Tannerella_sp_oral_taxon_HOT_286	STR_Cardiobacterium_hominis	STR_Pseudopropionibacterium_propionicum	STR_Campylobacter_gracilis	STR_Prevotella_conceptionensis	STR_Capnocytophaga_leadbetteri	STR_Actinomyces_naeslundii	STR_Ottowia_sp_Marseille_P4747	STR_Selenomonas_noxia	STR_Selenomonas_artemidis	STR_Neisseria_sp_oral_taxon_014	STR_Actinomyces_massiliensis	STR_Treponema_sp_OMZ_804	STR_Porphyromonas_catoniae	STR_Actinomyces_dentalis	STR_Neisseria_subflava	STR_Actinobaculum_sp_oral_taxon_183	STR_GGB1022_SGB1315	STR_Leptotrichia_hongkongensis	STR_Porphyromonas_pasteri	STR_Prevotella_loescheii	STR_Treponema_socranskii	STR_Capnocytophaga_SGB2480	STR_GGB1843_SGB2524	STR_TM7_phylum_sp_oral_taxon_348	STR_Eikenella_corrodens	STR_Actinomyces_gerencseriae	STR_Alloprevotella_tannerae	STR_Porphyromonas_sp_oral_taxon_278	STR_Prevotella_oris	STR_Actinomyces_johnsonii	STR_Arachnia_SGB15899	STR_Corynebacterium_durum	STR_Actinomyces_oris	STR_Campylobacter_SGB19337	STR_Campylobacter_SGB19317	STR_Streptococcus_oralis	STR_Streptococcus_cristatus	STR_Prevotella_oulorum	STR_Rothia_dentocariosa	STR_Leptotrichia_buccalis	STR_Selenomonas_SGB5891	STR_Candidatus_Saccharibacteria_bacterium_oral_taxon_488	STR_Rothia_aeria	STR_Prevotella_maculosa	STR_Veillonella_parvula	STR_Prevotella_nigrescens	STR_Treponema_maltophilum	STR_Prevotella_saccharolytica	STR_GGB4400_SGB6074	STR_Actinomyces_israelii	STR_Prevotella_oralis	STR_Cardiobacterium_valvarum	STR_Lachnospiraceae_bacterium_oral_taxon_500	STR_Leptotrichia_sp_oral_taxon_212	STR_Streptococcus_sanguinis	STR_Actinomyces_sp_oral_taxon_448	STR_Bacteroidetes_oral_taxon_274	STR_Porphyromonas_gingivalis	STR_Campylobacter_curvus	STR_Neisseria_sicca	STR_GGB10022_SGB15896	STR_Haemophilus_parainfluenzae	STR_Neisseria_elongata	STR_Streptococcus_gordonii	STR_Capnocytophaga_ochracea	STR_Leptotrichia_hofstadii	STR_Kytococcus_sedentarius	STR_Prevotella_veroralis	STR_Pauljensenia_hongkongensis	STR_Isoptericola_variabilis	STR_Granulicatella_adiacens	STR_candidate_division_SR1_bacterium_MGEHA	STR_Selenomonas_sputigena	STR_GGB1201_SGB1566	STR_Anaeroglobus_geminatus	STR_GGB6675_SGB9425	STR_Arachnia_SGB15898	STR_Peptidiphaga_gingivicola	STR_Lautropia_dentalis	STR_Porphyromonas_endodontalis	STR_GGB12796_SGB19893	STR_Dialister_invisus	STR_GGB4533_SGB6246	STR_GGB12790_SGB19844	STR_Olsenella_sp_oral_taxon_807	STR_Tannerella_forsythia	STR_Campylobacter_rectus	STR_Eubacterium_brachy	STR_Treponema_denticola	STR_GGB12790_SGB19845	STR_Lachnoanaerobaculum_saburreum	STR_Actinomyces_sp_oral_taxon_897	STR_Prevotella_denticola	STR_Candidatus_Nanoperiomorbus_periodonticus	STR_Prevotella_intermedia	STR_GGB3385_SGB4472	STR_Selenomonas_massiliensis	STR_Centipeda_periodontii	STR_Mogibacterium_timidum	STR_Gemella_morbillorum	STR_Kingella_denitrificans	STR_Candidatus_Gracilibacteria_bacterium_GN02_873	STR_Selenomonas_sp_oral_taxon_892	STR_Selenomonas_sp_oral_taxon_126	STR_Catonella_morbi	STR_Parvimonas_micra	STR_Bacteroidetes_unclassified_SGB1343	STR_Campylobacter_showae	STR_Dialister_pneumosintes	STR_Prevotella_baroniae	STR_Streptococcus_anginosus	STR_Peptostreptococcus_stomatis	STR_GGB1025_SGB1319	STR_GGB10852_SGB17523	STR_Filifactor_alocis	STR_Eubacterium_yurii	STR_Prevotella_sp_oral_taxon_473	STR_Treponema_SGB69443	STR_GGB49229_SGB69060	STR_Treponema_sp_Marseille_Q3903	STR_GGB1611_SGB2208	STR_Eubacterium_nodatum	STR_Fretibacterium_fastidiosum	STR_Prevotella_dentalis	STR_Anaerolineaceae_bacterium_oral_taxon_439	STR_GGB4333_SGB5935	STR_Peptostreptococcaceae_bacterium_oral_taxon_113
SAMP_geng2024_DRR285661	0.283184684918697	0.0397258039378669	0.0125587822744039	0.0127733388747467	0.0111621382928983	0.0381121097199855	0.00522551820873812	0.0013013663047431	0.0288201984518676	0.00299537638318874	0.0018867473634994	0.00141306041872305	0	0.122869239960517	0.000407813392903528	0	0.00228094965972258	0	0	0.00143145098446673	0	0.0192015169619201	0.0366739051379292	0.0269633747207647	0	0	0	0.00459566730739259	0.021060003117045	0.0013749285677178	0.0105428853446932	0.000959530365213778	0.141151852044262	0.00235295340017663	0	0	0.00249498675255858	0	0.00203844355550938	0	0	0.00306000311704504	0	0	0.00474933762792873	0.0033013663047431	0	0.00268408748506416	0.00226255909397891	0	0	0.00138957867941192	0	0.00582419865967063	0.00469769858174451	0.00116722946646579	0	0	0.00191417735986285	0	0.00326801392280119	0	0.00993578887214921	0.00228895007532859	0	0	0	0.000345888098083017	0.00836573328484597	0	0.000208945919268533	0.0266866850225986	0.00219356849706478	0.0031997506363967	0.00118728245623149	0.000607096472544029	0	0.000742064522832355	0.00718800976674113	0.00212977297521949	0	0	0	0	0	0	0	0	0	0.00102613122759624	0	0	0	0	0	0	0	0	0.00166668398358356	0	0	0	0	0.000677229985973298	0.00709844667255442	0.00111382409475817	0	0	0	0.00156153566419035	0.0070067016468388	0.0234635565483921	0.00341139799470102	0.00321897241415139	0	0.00770897189464388	0.00709013455244429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SAMP_geng2024_DRR285662	0.0615140974013632	0.0442954713564529	0.0318105726294463	0	0	0.0191299793084195	0.0221126563813197	0	0	0.0777888093087338	0.000481325426994154	0	0	0.00420014727059129	0	0	0	0	0.0103075881827946	0.00938209848309626	0	0.0170165817858714	0	0.0165648187337186	0	0	0	0.0642803653992805	0	0	0.00875629215370853	0	0	0.00980502781049186	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00795987761176816	0.0225172653637432	0	0	0	0	0	0	0	0	0	0	0.00772181722000007	0	0	0	0	0	0.101187116717044	0.21600425781472	0	0	0	0	0	0	0	0	0	0	0.00901798162677585	0	0	0	0.0201107423216416	0	0.018102686782683	0.198960611882867	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000971811026474356	0	0	0	0	0	0	0	0	0	0
SAMP_geng2024_DRR285663	0.0700043966381056	0.057113453712603	0.0359246232183391	0	0	0.00433406269810433	0.0566390257867937	0	0	0.0695120754176806	0.00379849082840842	0	0	0.00187726222367641	0	0.0105150201427374	0	0	0.0453507085744668	0.00214729760127605	0	0.00373632441054375	0	0.0167244023639598	0	0	0	0.0500172798102288	0	0	0.0334946115621357	0	0	0.0051097114578434	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00313091756814789	0	0	0	0	0	0	0.0045143248604323	0	0	0	0	0.000544058403713626	0	0	0	0	0	0.0225270444367191	0.177245557350565	0	0	0	0	0	0	0	0	0	0	0.013968017013967	0	0	0	0.0479074047565489	0	0.0152425308275904	0.248621398335412	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SAMP_geng2024_DRR285664	0	0	0	0	0.0230387960061954	0.0690576597965862	0	0	0	0	0	0.00272770160271969	0	0	0	0	0	0	0	0	0	0	0.0223849347428514	0	0	0	0	0	0	0.0132414807627858	0	0	0	0	0	0.0507109020685487	0	0.0629968257192091	0	0	0	0	0	0	0	0	0	0.0557278827833629	0	0	0	0.00444590993109528	0	0	0	0.00967802354247208	0	0	0.0115483542792227	0	0	0.00197096399215693	0	0	0	0	0.261757904935934	0	0	0	0	0	0	0.0183444126775063	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.102534581593535	0	0.0117496207900353	0	0	0.0082972985731591	0.167622580634308	0.0161432258984118	0.0180975706194125	0.0121121859939104	0.00638078053681469	0	0.00336412792515741	0	0	0	0	0	0	0.00531051986609557	0	0	0	0	0.000904577752750311	0	0.0014694290546255	0	0	0	0	0	0	0.0263757009534466	0.00405581587315764	0	0	0	0	0	0	0	0.00332385423125114	0.000591156651312703	0	0.00403522021197014	0	0
SAMP_geng2024_DRR285665	0.13824366574747	0.158591127663658	0.0180157722417522	0	0	0.0108402586767608	0.0134863425219827	0	0.0104555183070699	0.00441339371499484	0.00528522364505824	0	0	0.0194634547471155	0	0.0209762502577599	0.00697172092867851	0.000940364638867875	0	0	0	0	0.00378390090505065	0.276982170207409	0	0	0	0.0446723522631701	0.0105055355615131	0	0	0	0.0648718758211459	0.0082342288904291	0	0	0	0	0.0227149788392797	0	0.0129402788950031	0	0	0	0.00565778677573984	0.0021177325658922	0	0.0269939197334775	0	0	0	0.0160986118853274	0	0.00140219397617146	0	0	0	0	0	0	0.00130688946921428	0	0.004726177672358	0	0	0	0	0	0.00176459263462214	0	0.00501058161814574	0.0087925703947569	0.00480789600356099	0.0280432756933956	0.00956295687918901	0	0	0	0	0.000693498793497274	0	0	0	0	0	0	0	0	0	0.013849244372128	0	0	0	0	0	0	0	0	0	0	0.00631505576722594	0	0	0	0.00228227625002629	0	0	0	0.00707497586441037	0	0	0	0	0	0	0	0.000189401353847318	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000921947822845527	0	0	0	0	0
SAMP_geng2024_DRR285666	0	0	0	0	0.00139813723142763	0.11444297279194	0	0	0	0	0	0.000315411838754032	0	0	0	0	0	0	0	0	0	0	0.00701473100583239	0	0	0	0	0	0	0.000109414164436456	0	0	0	0	0	0	0	0.0183235891078856	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00277263372926511	0	0	0.0115030354095757	0.00561507834276437	0	0	0	0	0	0.0182532730797713	0.459678809315257	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0538398512048187	0	0	0	0	0	0.136417034663983	0.0155458029110432	0.00508568755638669	0.0660541291976194	0	0	0	0	0	0.0181024371171641	0	0	0	0.0142555644124116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0364623965844191	0	0	0	0	0	0	0	0.00167061184037049	0.00159817420795965	0	7.94086179566526e-05	0	0.011461815668957
SAMP_geng2024_DRR285667	0.0134259897836565	0	0	0	0	0	0	0	0	0	0.00516695278495846	0	0	0	0	0	0	0	0	0	0	0	0	0	0.50142174052417	0	0	0	0	0	0	0	0	0	0.0241127841517458	0	0	0	0	0	0	0.0445520587493974	0	0	0	0	0	0.116429385603576	0	0	0	0.00190511304653805	0	0.155677775029033	0	0	0	0	0	0	0	0	0	0	0.105904543073361	0	0	0	0	0	0	0	0.0225781942086306	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0088254630449317	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SAMP_geng2024_DRR285668	0.0567257845739817	0.00354305620021956	0.00564418290404291	0	0.0266603954668086	0.03206152644645	0.0104364992074282	0	0	0	0.0012223688135223	0.000678773242033455	0	0.0117833303883422	0	0	0	0	0	0	0.0169421306659097	0	0.00840636138699296	0	0	0	0	0	0	0.00440244411943648	0	0	0	0	0	0.00877284536117526	0	0	0	0	0	0	0	0	0	0	0	0.00586724666679374	0	0	0	0	0	0	0	0.020145182054546	0	0	0	0	0	0.000946655820856617	0	0	0	0.0359133688346438	0.363493683380307	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0147813485724177	0	0	0.0261140180377704	0.013238035823113	0	0.0061584144236223	0	0	0	0.140899951523556	0	0	0.0354036707125522	0	0	0	0	0.0138075953983955	0	0	0	0	0.0160486392337734	0	0	0	0	0	0	0	0.00934044733299711	0	0	0	0	0	0.0196074592934391	0.0102207506997144	0.00663534844568861	0	0	0.033571662968685	0.00162171991949098	0	0.00626515532810722	0.00478191009551559	0.00612018964025945	0	0.00232316014896332	0.00372418603620845	0.0156905008322391
SAMP_geng2024_DRR285669	0.0958447117282005	0.0228496641951533	0.0331348910027365	0	0	0.0484109909844197	0	0	0	0	0	0	0	0.079319034265888	0	0	0	0	0	0	0.00317569532069602	0	0	0	0	0	0.0133831928263291	0	0	0	0	0	0	0	0	0.00491497759093768	0	0	0	0	0	0	0	0	0	0	0	0.00662553160017025	0	0	0	0	0	0	0	0.00825947691337859	0	0	0	0	0	0	0	0	0	0.0444779698043565	0.403236798905637	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0160261928391651	0	0	0.00419045492321914	0.0332952395234043	0	0	0	0	0	0.0781104098381865	0	0	0.0499974633556769	0	0	0	0	0	0	0	0	0	0.00646039503600099	0	0	0	0	0	0	0	0.000247755782886881	0	0	0	0	0	0	0.013679949650157	0.00809158977102761	0	0	0.00646691492502433	0	0	0.0011648189233259	0.000412586727258169	0.005898156481004	0	0	0	0.0123251370857604
SAMP_geng2024_DRR285670	0	0	0	0	0.0743225	0.1580369	0	0	0	0	0	0.0023789	0	0	0	0	0	0	0	0	0	0	0.0013456	0	0	0.0369706	0	0	0	0.0016021	0	0	0	0	0	0.012822	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0018089	0	0	0.0352327	0.0147518	0	0	0.0010365	0	0	0	0	0	0	0.2012698	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0180253	0	0.009221	0	0	0.0055886	0.142673	0	0.0095311	0.1061521	0.0021403	0	0	0	0.0059146	0	0	0	0	0.0136003	0	0	0	0	0	0.0028963	0	0	0	0	6.97e-05	0	0	0.0272117	0.0305492	0.0146034	0	0	0	0	0	0.0032131	0.00516	0.0003529	0	0	0.0437289	0.0177902
