taxon_id,p_value,U,r,var_r,log2fc,mean_case,mean_ctrl,taxon_name,source_id,n_case,n_ctrl,n_total
STR_Corynebacterium_matruchotii,0.07023026840828911,147,-0.3272311212814645,0.019446481883028974,-0.9464930102316577,0.057214945239409024,0.11026455402048845,Corynebacterium_matruchotii,geng2024_PRJDB11203,23,19,42
STR_Capnocytophaga_gingivalis,0.033246449843097554,135,-0.38215102974828374,0.017786553416165005,-0.6343507297835375,0.019240758467196077,0.029866808371923948,Capnocytophaga_gingivalis,geng2024_PRJDB11203,23,19,42
STR_Capnocytophaga_sputigena,0.14187902513455913,161.5,-0.26086956521739135,0.021183544906728833,-1.6333404834393437,0.009333753565931757,0.028958251717499234,Capnocytophaga_sputigena,geng2024_PRJDB11203,23,19,42
STR_Capnocytophaga_granulosa,0.22433339786009715,176,-0.19450800915331812,0.02257962517816888,-1.0516952728581395,0.007231663681759016,0.014992053625724812,Capnocytophaga_granulosa,geng2024_PRJDB11203,23,19,42
STR_Candidatus_Nanosynsacchari_sp_TM7_ANC_38_39_G1_1,0.3995596999357931,251,0.14874141876430214,0.023322962255883525,0.3711640731673519,0.02767675832498222,0.021398291441293963,Candidatus_Nanosynsacchari_sp_TM7_ANC_38_39_G1_1,geng2024_PRJDB11203,23,19,42
STR_Fusobacterium_nucleatum,0.1723052323860401,273,0.24942791762013727,0.02144980598089861,0.11720906068448345,0.054309208708541036,0.050071356282537956,Fusobacterium_nucleatum,geng2024_PRJDB11203,23,19,42
STR_Lautropia_mirabilis,0.002932248093771486,105,-0.5194508009153318,0.013003646163914346,-2.215673660062248,0.005225952504799614,0.02427811130753692,Lautropia_mirabilis,geng2024_PRJDB11203,23,19,42
STR_Aggregatibacter_sp_oral_taxon_458,0.6986209437925186,207.5,-0.05034324942791757,0.024266769216443794,-0.7669605210466997,0.0017472881142134205,0.002974028478272587,Aggregatibacter_sp_oral_taxon_458,geng2024_PRJDB11203,23,19,42
STR_Tannerella_sp_oral_taxon_HOT_286,0.6921546837731662,203.5,-0.06864988558352403,0.02416089260894107,0.18593141131449276,0.010161441952979432,0.008932613224364765,Tannerella_sp_oral_taxon_HOT_286,geng2024_PRJDB11203,23,19,42
STR_Cardiobacterium_hominis,0.47702388188002925,193,-0.1167048054919908,0.023730377596751614,-0.1736992534740799,0.007886580510702948,0.008895772611090376,Cardiobacterium_hominis,geng2024_PRJDB11203,23,19,42
STR_Pseudopropionibacterium_propionicum,0.18539460442525568,169.5,-0.22425629290617854,0.021998717153385087,-3.2385212056629573,0.0013876020082579212,0.013104989434655847,Pseudopropionibacterium_propionicum,geng2024_PRJDB11203,23,19,42
STR_Campylobacter_gracilis,0.22618751352258273,171,-0.21739130434782605,0.022139401285451207,-0.9979850928303229,0.004217230046083404,0.008423685726443742,Campylobacter_gracilis,geng2024_PRJDB11203,23,19,42
STR_Prevotella_conceptionensis,0.45231838277549574,195,-0.10755148741418763,0.02382924775752533,-0.11024018259086729,0.0052204787460325775,0.005635105530401243,Prevotella_conceptionensis,geng2024_PRJDB11203,23,19,42
STR_Capnocytophaga_leadbetteri,0.5829036487079851,197,-0.09839816933638446,0.023920227939855702,-0.5783216691886356,0.014816939068531675,0.022123831619585095,Capnocytophaga_leadbetteri,geng2024_PRJDB11203,23,19,42
STR_Actinomyces_naeslundii,0.007153519626129475,119.5,-0.45308924485125857,0.015404004892175792,-1.5256359045880483,0.0032536197070717264,0.00936949254648888,Actinomyces_naeslundii,geng2024_PRJDB11203,23,19,42
STR_Ottowia_sp_Marseille_P4747,0.2431158337099977,183.5,-0.1601830663615561,0.023154661829581848,-2.086126530708419,0.0013939477313327738,0.005922039043062273,Ottowia_sp_Marseille_P4747,geng2024_PRJDB11203,23,19,42
STR_Selenomonas_noxia,0.5752644956879174,198,-0.09382151029748287,0.023962744682710035,-0.8021667133670963,0.003922742806075524,0.006840900825213635,Selenomonas_noxia,geng2024_PRJDB11203,23,19,42
STR_Selenomonas_artemidis,0.5882829229308794,202,-0.07551487414187641,0.024112866488531077,-1.0495156733739666,0.0013368612861976233,0.0027681519380836775,Selenomonas_artemidis,geng2024_PRJDB11203,23,19,42
STR_Neisseria_sp_oral_taxon_014,0.7781895270411521,227,0.0389016018306636,0.024316478559309858,2.1571752938399023,0.004835012164633005,0.0010832087684372316,Neisseria_sp_oral_taxon_014,geng2024_PRJDB11203,23,19,42
STR_Actinomyces_massiliensis,0.03568273686996658,142,-0.3501144164759725,0.018777211531733798,-4.106685014503884,0.0017523358652290735,0.03020550568996108,Actinomyces_massiliensis,geng2024_PRJDB11203,23,19,42
STR_Treponema_sp_OMZ_804,0.12295706051730557,269,0.23112128146453093,0.02185412896076658,2.5163355271586605,0.012497241205303536,0.0021835220317343736,Treponema_sp_OMZ_804,geng2024_PRJDB11203,23,19,42
STR_Porphyromonas_catoniae,0.27152022621124716,185.5,-0.15102974828375282,0.023290251845763645,-2.2622997410420425,0.0016873497402306182,0.008098952956945219,Porphyromonas_catoniae,geng2024_PRJDB11203,23,19,42
STR_Actinomyces_dentalis,0.49656907764392205,245,0.12128146453089239,0.023677999343902103,1.0037160372953913,0.014076945693402869,0.007019865466703294,Actinomyces_dentalis,geng2024_PRJDB11203,23,19,42
STR_Neisseria_subflava,0.5299835244569104,195,-0.10755148741418763,0.02382924775752533,2.066233109976348,0.018014121585252802,0.004300689440727227,Neisseria_subflava,geng2024_PRJDB11203,23,19,42
STR_Actinobaculum_sp_oral_taxon_183,0.0191099284604457,137,-0.37299771167048057,0.018075654092927534,0.3788956592907713,0.023674652958842392,0.018206193455958263,Actinobaculum_sp_oral_taxon_183,geng2024_PRJDB11203,23,19,42
STR_GGB1022_SGB1315,0.8153264966404693,225,0.029748283752860427,0.02434709420444887,1.398132997018437,0.009502265109523506,0.0036047272726086647,GGB1022_SGB1315,geng2024_PRJDB11203,23,19,42
STR_Leptotrichia_hongkongensis,0.39637419380781663,195,-0.10755148741418763,0.02382924775752533,0.0959145562139354,9.356247918531507e-4,8.753800660863404e-4,Leptotrichia_hongkongensis,geng2024_PRJDB11203,23,19,42
