cohort	taxon_id	taxon_name	n_bootstraps_significant	stability_score
geng2024_PRJDB11203	STR_Eubacterium_nodatum	Eubacterium_nodatum	148	0.74
geng2024_PRJDB11203	STR_GGB10852_SGB17523	GGB10852_SGB17523	138	0.69
geng2024_PRJDB11203	STR_Corynebacterium_durum	Corynebacterium_durum	132	0.66
geng2024_PRJDB11203	STR_Treponema_maltophilum	Treponema_maltophilum	119	0.595
geng2024_PRJDB11203	STR_Porphyromonas_endodontalis	Porphyromonas_endodontalis	118	0.59
geng2024_PRJDB11203	STR_Lautropia_mirabilis	Lautropia_mirabilis	107	0.535
geng2024_PRJDB11203	STR_Filifactor_alocis	Filifactor_alocis	107	0.535
geng2024_PRJDB11203	STR_Tannerella_forsythia	Tannerella_forsythia	103	0.515
geng2024_PRJDB11203	STR_Fretibacterium_fastidiosum	Fretibacterium_fastidiosum	101	0.505
geng2024_PRJDB11203	STR_Actinomyces_naeslundii	Actinomyces_naeslundii	100	0.5
geng2024_PRJDB11203	STR_GGB1025_SGB1319	GGB1025_SGB1319	89	0.445
geng2024_PRJDB11203	STR_Treponema_SGB69443	Treponema_SGB69443	88	0.44
geng2024_PRJDB11203	STR_Treponema_denticola	Treponema_denticola	75	0.375
geng2024_PRJDB11203	STR_Actinobaculum_sp_oral_taxon_183	Actinobaculum_sp_oral_taxon_183	74	0.37
geng2024_PRJDB11203	STR_Rothia_aeria	Rothia_aeria	69	0.345
geng2024_PRJDB11203	STR_Mogibacterium_timidum	Mogibacterium_timidum	68	0.34
geng2024_PRJDB11203	STR_Dialister_invisus	Dialister_invisus	65	0.325
geng2024_PRJDB11203	STR_Streptococcus_sanguinis	Streptococcus_sanguinis	56	0.28
geng2024_PRJDB11203	STR_Capnocytophaga_gingivalis	Capnocytophaga_gingivalis	55	0.275
geng2024_PRJDB11203	STR_Porphyromonas_gingivalis	Porphyromonas_gingivalis	53	0.265
geng2024_PRJDB11203	STR_GGB4333_SGB5935	GGB4333_SGB5935	50	0.25
geng2024_PRJDB11203	STR_Actinomyces_massiliensis	Actinomyces_massiliensis	49	0.245
geng2024_PRJDB11203	STR_Peptostreptococcaceae_bacterium_oral_taxon_113	Peptostreptococcaceae_bacterium_oral_taxon_113	45	0.225
geng2024_PRJDB11203	STR_Actinomyces_oris	Actinomyces_oris	44	0.22
geng2024_PRJDB11203	STR_GGB1843_SGB2524	GGB1843_SGB2524	39	0.195
geng2024_PRJDB11203	STR_Neisseria_elongata	Neisseria_elongata	38	0.19
geng2024_PRJDB11203	STR_Candidatus_Nanoperiomorbus_periodonticus	Candidatus_Nanoperiomorbus_periodonticus	38	0.19
geng2024_PRJDB11203	STR_Corynebacterium_matruchotii	Corynebacterium_matruchotii	37	0.185
geng2024_PRJDB11203	STR_GGB1611_SGB2208	GGB1611_SGB2208	35	0.175
geng2024_PRJDB11203	STR_Streptococcus_oralis	Streptococcus_oralis	34	0.17
geng2024_PRJDB11203	STR_Rothia_dentocariosa	Rothia_dentocariosa	32	0.16
geng2024_PRJDB11203	STR_Campylobacter_SGB19317	Campylobacter_SGB19317	26	0.13
geng2024_PRJDB11203	STR_Arachnia_SGB15899	Arachnia_SGB15899	24	0.12
geng2024_PRJDB11203	STR_Prevotella_intermedia	Prevotella_intermedia	23	0.115
geng2024_PRJDB11203	STR_Bacteroidetes_unclassified_SGB1343	Bacteroidetes_unclassified_SGB1343	23	0.115
geng2024_PRJDB11203	STR_Pseudopropionibacterium_propionicum	Pseudopropionibacterium_propionicum	20	0.1
geng2024_PRJDB11203	STR_Fusobacterium_nucleatum	Fusobacterium_nucleatum	19	0.095
geng2024_PRJDB11203	STR_Prevotella_oris	Prevotella_oris	19	0.095
geng2024_PRJDB11203	STR_Cardiobacterium_valvarum	Cardiobacterium_valvarum	19	0.095
geng2024_PRJDB11203	STR_Isoptericola_variabilis	Isoptericola_variabilis	19	0.095
geng2024_PRJDB11203	STR_Prevotella_baroniae	Prevotella_baroniae	19	0.095
geng2024_PRJDB11203	STR_Campylobacter_SGB19337	Campylobacter_SGB19337	18	0.09
geng2024_PRJDB11203	STR_Treponema_sp_OMZ_804	Treponema_sp_OMZ_804	17	0.085
geng2024_PRJDB11203	STR_GGB49229_SGB69060	GGB49229_SGB69060	17	0.085
geng2024_PRJDB11203	STR_Capnocytophaga_sputigena	Capnocytophaga_sputigena	16	0.08
geng2024_PRJDB11203	STR_Campylobacter_gracilis	Campylobacter_gracilis	16	0.08
geng2024_PRJDB11203	STR_Capnocytophaga_granulosa	Capnocytophaga_granulosa	15	0.075
geng2024_PRJDB11203	STR_Candidatus_Saccharibacteria_bacterium_oral_taxon_488	Candidatus_Saccharibacteria_bacterium_oral_taxon_488	15	0.075
geng2024_PRJDB11203	STR_Eikenella_corrodens	Eikenella_corrodens	13	0.065
geng2024_PRJDB11203	STR_Actinomyces_gerencseriae	Actinomyces_gerencseriae	13	0.065
geng2024_PRJDB11203	STR_Prevotella_oulorum	Prevotella_oulorum	13	0.065
geng2024_PRJDB11203	STR_Ottowia_sp_Marseille_P4747	Ottowia_sp_Marseille_P4747	12	0.06
geng2024_PRJDB11203	STR_Porphyromonas_catoniae	Porphyromonas_catoniae	12	0.06
geng2024_PRJDB11203	STR_Treponema_socranskii	Treponema_socranskii	12	0.06
geng2024_PRJDB11203	STR_Veillonella_parvula	Veillonella_parvula	12	0.06
geng2024_PRJDB11203	STR_TM7_phylum_sp_oral_taxon_348	TM7_phylum_sp_oral_taxon_348	11	0.055
geng2024_PRJDB11203	STR_Kytococcus_sedentarius	Kytococcus_sedentarius	11	0.055
geng2024_PRJDB11203	STR_Campylobacter_rectus	Campylobacter_rectus	11	0.055
geng2024_PRJDB11203	STR_Prevotella_dentalis	Prevotella_dentalis	11	0.055
geng2024_PRJDB11203	STR_Leptotrichia_hongkongensis	Leptotrichia_hongkongensis	10	0.05
geng2024_PRJDB11203	STR_Capnocytophaga_SGB2480	Capnocytophaga_SGB2480	10	0.05
geng2024_PRJDB11203	STR_Parvimonas_micra	Parvimonas_micra	9	0.045
geng2024_PRJDB11203	STR_Peptostreptococcus_stomatis	Peptostreptococcus_stomatis	9	0.045
geng2024_PRJDB11203	STR_Anaerolineaceae_bacterium_oral_taxon_439	Anaerolineaceae_bacterium_oral_taxon_439	9	0.045
geng2024_PRJDB11203	STR_Alloprevotella_tannerae	Alloprevotella_tannerae	8	0.04
geng2024_PRJDB11203	STR_Actinomyces_sp_oral_taxon_448	Actinomyces_sp_oral_taxon_448	8	0.04
geng2024_PRJDB11203	STR_Anaeroglobus_geminatus	Anaeroglobus_geminatus	8	0.04
geng2024_PRJDB11203	STR_Cardiobacterium_hominis	Cardiobacterium_hominis	7	0.035
geng2024_PRJDB11203	STR_Porphyromonas_sp_oral_taxon_278	Porphyromonas_sp_oral_taxon_278	7	0.035
geng2024_PRJDB11203	STR_Lachnospiraceae_bacterium_oral_taxon_500	Lachnospiraceae_bacterium_oral_taxon_500	7	0.035
geng2024_PRJDB11203	STR_Streptococcus_gordonii	Streptococcus_gordonii	7	0.035
geng2024_PRJDB11203	STR_Granulicatella_adiacens	Granulicatella_adiacens	7	0.035
geng2024_PRJDB11203	STR_Dialister_pneumosintes	Dialister_pneumosintes	7	0.035
geng2024_PRJDB11203	STR_Selenomonas_noxia	Selenomonas_noxia	6	0.03
