sample_id,vOTU_id,phageID,phageLen,linear_or_circular,integrase,virsorter_category,cat_taxonomy,img_vr_cluster,assigned_family
SAMP_yahara2021_Sample1,vOTU_yahara2021_00001,VIRSorter_contig_75_pilon_gene_300_gene_421-256025-340210-cat_5,84185,l,yes,5,Bacteria (superkingdom): 0.92,VIRSorter_contig_3600_pilon-cat_1;7000000180_____SRS017013_Baylor_scaffold_23860;3300008483_____Ga0105906_1000620;7000000290_____C3496787;7000000530_____C362525;7000000210_____SRS024015_Baylor_scaffold_36767;7000000508_____C3714790;7000000442_____SRS051791_LANL_scaffold_10560;3300006245_____Ga0099369_100137;7000000673_____C1760394;7000000576_____SRS022621_Baylor_scaffold_60364;3300008611_____Ga0111137_1001472;7000000422_____SRS057791_LANL_scaffold_84070;7000000682_____SRS019587_WUGC_scaffold_10343;7000000342_____C3054148;3300007854_____Ga0114157_100716;3300006996_____Ga0102724_100201;3300008638_____Ga0111421_104451;VIRSorter_contig_3437_pilon-cat_1;3300006748_____Ga0101800_103375;VIRSorter_contig_75_pilon_gene_300_gene_421-256025-340210-cat_5;7000000253_____SRS054569_LANL_scaffold_24493,NA
SAMP_yahara2021_Sample1,vOTU_yahara2021_00002,VIRSorter_contig_274_pilon_gene_232_gene_370-187600-292275-cat_5,104675,l,yes,5,Terrabacteria group (no rank): 0.60,VIRSorter_contig_274_pilon_gene_232_gene_370-187600-292275-cat_5;7000000405_____C2854275;7000000043_____C585625,NA
SAMP_yahara2021_Sample1,vOTU_yahara2021_00003,VIRSorter_contig_1530_pilon_gene_1_gene_145-0-131389-cat_5,131389,l,no,5,Bacteria (superkingdom): 0.99,NA,NA
SAMP_yahara2021_Sample1,vOTU_yahara2021_00004,VIRSorter_contig_58_pilon_gene_103_gene_247-65707-147937-cat_5,82230,l,yes,5,Bacteria (superkingdom): 0.95,VIRSorter_contig_58_pilon_gene_103_gene_247-65707-147937-cat_5;3300006489_____Ga0100254_100379;VIRSorter_contig_58_pilon_gene_133_gene_247-83318-147937-cat_5,NA
SAMP_yahara2021_Sample1,vOTU_yahara2021_00005,VIRSorter_contig_2202_pilon-cat_2,138793,l,no,2,Bacteria (superkingdom): 1.00,NA,NA
SAMP_yahara2021_Sample1,vOTU_yahara2021_00006,VIRSorter_contig_951_pilon-cat_2,91051,l,yes,2,Bacteria (superkingdom): 0.66,VIRSorter_contig_951_pilon-cat_2;3300006254_____Ga0099365_1000123;3300007204_____Ga0103275_100403;3300006745_____Ga0101799_100176;7000000483_____C832197;7000000125_____SRS015941_WUGC_scaffold_33368;3300008618_____Ga0111234_100101;3300008382_____Ga0114861_1000093;7000000310_____C899651;3300008514_____Ga0111023_100665;3300007994_____Ga0113878_100497;7000000545_____SRS043755_WUGC_scaffold_45964;7000000027_____SRS056622_LANL_scaffold_11215;3300014137_____Ga0134350_1000303;3300008607_____Ga0111136_100339;3300007728_____Ga0105754_1000335;7000000351_____SRS047219_WUGC_scaffold_60611;3300008495_____Ga0114893_100390;7000000298_____SRS016569_Baylor_scaffold_35834;3300008504_____Ga0114860_100613;3300008639_____Ga0115685_1001466;7000000421_____C4106201;3300008742_____Ga0115672_100908;3300008483_____Ga0105906_1000700;7000000123_____C990875;3300006248_____Ga0099387_100166;3300008626_____Ga0111364_101274;3300014766_____Ga0134337_101164;7000000496_____SRS057692_LANL_scaffold_4588;3300014037_____Ga0119816_1002764;3300008515_____Ga0115189_1001996;7000000222_____SRS057539_LANL_scaffold_45130;3300008273_____Ga0114250_101968;7000000682_____SRS019587_WUGC_scaffold_10368;3300007316_____Ga0104922_102882;2124908010_____kg300_2462769;3300008534_____Ga0111050_101411;7000000366_____SRS065278_LANL_scaffold_67750;7000000336_____C2524140;7000000290_____C3496739;7000000556_____C3561281;3300008098_____Ga0114255_103873;7000000305_____SRS062761_LANL_scaffold_52823;7000000276_____SRS054687_LANL_scaffold_49911;3300008420_____Ga0115228_103356;7000000147_____C1909450;3300007803_____Ga0105780_103547;3300008746_____Ga0114084_1004178;3300006317_____Ga0099674_105938;3300008138_____Ga0114843_104577;3300006243_____Ga0099348_101280;VIRSorter_contig_637_pilon-cat_2;3300008518_____Ga0115191_100225;3300007810_____Ga0105660_100006;3300008524_____Ga0111046_100093;3300007314_____Ga0104968_100209;3300007107_____Ga0102632_1000186;3300006328_____Ga0099580_100175;3300008493_____Ga0111009_1000224;3300007208_____Ga0103291_100337;3300008537_____Ga0111051_100368;7000000480_____SRS015209_WUGC_scaffold_36762;3300006460_____Ga0100061_100303;7000000395_____SRS019077_WUGC_scaffold_55806;3300007728_____Ga0105754_1000297;3300008098_____Ga0114255_101109;3300008534_____Ga0111050_100408;7000000392_____SRS023557_Baylor_scaffold_33146;3300008607_____Ga0111136_100362;3300014137_____Ga0134350_1000365;7000000027_____SRS056622_LANL_scaffold_51951;3300008155_____Ga0114001_101682;7000000541_____C2271223;VIRSorter_contig_341_pilon_gene_326_gene_425-249450-319301-cat_4;VIRSorter_contig_2135_pilon_gene_1_gene_77-0-52560-cat_5;VIRSorter_contig_1617_pilon_gene_46_gene_138-36721-93260-cat_5;VIRSorter_contig_1617_pilon_gene_29_gene_138-20658-93260-cat_5,NA
SAMP_yahara2021_Sample1,vOTU_yahara2021_00007,VIRSorter_contig_839_pilon_gene_178_gene_326-143872-233171-cat_5,89299,l,yes,5,Bacteria (superkingdom): 0.95,VIRSorter_contig_839_pilon_gene_178_gene_326-143872-233171-cat_5;7000000445_____SRS045262_WUGC_scaffold_14373;7000000147_____C1909256;VIRSorter_contig_142_pilon_gene_53_gene_179-45268-129415-cat_5;REF:Bacilli_gi_419767764;7000000506_____SRS021986_Baylor_scaffold_128;7000000530_____C362513;7000000391_____SRS018329_Baylor_scaffold_1377,NA
SAMP_yahara2021_Sample1,vOTU_yahara2021_00008,VIRSorter_contig_203_pilon_gene_1663_gene_1731-1425223-1482829-cat_5,57606,l,no,5,Streptococcus (genus): 0.70,NA,NA
SAMP_yahara2021_Sample1,vOTU_yahara2021_00009,VIRSorter_contig_3_pilon_gene_151_gene_321-134167-262903-cat_5,128736,l,yes,5,Bacteria (superkingdom): 0.92,VIRSorter_contig_711_pilon-cat_1;3300008413_____Ga0115229_100261;3300008382_____Ga0114861_1000290;3300008140_____Ga0114165_1002357;7000000194_____SRS022077_Baylor_scaffold_9475;7000000354_____SRS015985_WUGC_scaffold_4334;3300006301_____Ga0099617_100602;7000000568_____SRS051930_LANL_scaffold_32983;3300008405_____Ga0115221_1002303;3300006294_____Ga0099625_101034;VIRSorter_contig_3_pilon_gene_151_gene_321-134167-262903-cat_5;7000000720_____SRS045197_WUGC_scaffold_78094;VIRSorter_contig_3_pilon_gene_151_gene_317-134167-260067-cat_5;VIRSorter_contig_259_pilon_gene_138_gene_238-120043-196251-cat_5;VIRSorter_contig_259_pilon_gene_119_gene_220-104798-185420-cat_5;VIRSorter_contig_259_pilon_gene_150_gene_297-128995-248204-cat_5,NA
SAMP_yahara2021_Sample1,vOTU_yahara2021_00010,VIRSorter_contig_194_pilon_gene_574_gene_686-454855-523340-cat_5,68485,l,yes,5,Bacteria (superkingdom): 0.96,NA,NA
SAMP_yahara2021_Sample1,vOTU_yahara2021_00011,VIRSorter_contig_2583_pilon-cat_2,117549,l,no,2,Bacteria (superkingdom): 0.99,NA,NA
SAMP_yahara2021_Sample1,vOTU_yahara2021_00012,VIRSorter_contig_1020_pilon_gene_179_gene_278-147056-237188-cat_5,90132,l,no,5,Bacteria (superkingdom): 1.00,NA,NA
SAMP_yahara2021_Sample1,vOTU_yahara2021_00013,VIRSorter_contig_259_pilon_gene_150_gene_297-128995-248204-cat_5,119209,l,yes,5,Bacteria (superkingdom): 0.92,NA,NA
SAMP_yahara2021_Sample1,vOTU_yahara2021_00014,VIRSorter_contig_68_pilon_gene_844_gene_956-683315-764291-cat_5,80976,l,no,5,Bacteria (superkingdom): 0.99,NA,NA
SAMP_yahara2021_Sample1,vOTU_yahara2021_00015,VIRSorter_contig_2140_pilon_gene_120_gene_320-82982-227290-cat_5,144308,l,no,5,Streptococcus (genus): 0.55,NA,NA
SAMP_yahara2021_Sample1,vOTU_yahara2021_00016,VIRSorter_contig_2455_pilon_gene_1_gene_84-337-53895-cat_5,53558,l,no,5,Streptococcus (genus): 0.73,NA,NA
SAMP_yahara2021_Sample1,vOTU_yahara2021_00017,VIRSorter_contig_193_pilon_gene_220_gene_281-168495-224936-cat_5,56441,l,no,5,Bacteria (superkingdom): 1.00,NA,NA
SAMP_yahara2021_Sample1,vOTU_yahara2021_00018,VIRSorter_contig_128_pilon_gene_1704_gene_1783-1359849-1429730-cat_5,69881,l,no,5,Streptococcus (genus): 0.72,NA,NA
SAMP_yahara2021_Sample1,vOTU_yahara2021_00019,VIRSorter_contig_112_pilon_gene_529_gene_612-452785-525816-cat_5,73031,l,no,5,Terrabacteria group (no rank): 0.51,NA,NA
SAMP_yahara2021_Sample1,vOTU_yahara2021_00020,VIRSorter_contig_142_pilon_gene_53_gene_179-45268-129415-cat_5,84147,l,yes,5,Terrabacteria group (no rank): 0.52,VIRSorter_contig_839_pilon_gene_178_gene_326-143872-233171-cat_5;7000000445_____SRS045262_WUGC_scaffold_14373;7000000147_____C1909256;VIRSorter_contig_142_pilon_gene_53_gene_179-45268-129415-cat_5;REF:Bacilli_gi_419767764;7000000506_____SRS021986_Baylor_scaffold_128;7000000530_____C362513;7000000391_____SRS018329_Baylor_scaffold_1377,NA
SAMP_yahara2021_Sample1,vOTU_yahara2021_00021,VIRSorter_contig_31_pilon_gene_160_gene_271-137742-214325-cat_5,76583,l,yes,5,Bacteria (superkingdom): 0.91,NA,NA
